Entity Number,Type,Value,Note,,,,,,
759,per,the Robinsons [Mrs. Robinson],,,,,,,
760,per,Barrett Wendell,scholar,,,,,,
761,per,[Mrs. Wendell],,,,,,,
762,per,Paul Thorndyke,medical professional,,,,,,
763,per,[Mrs. Thorndyke],,,,,,,
764,per,Dr. Thorndyke,medical professional,,,,,,
766,per,"his wife, a daughter of General Sherman",,,,,,,
768,per,General Sherman,historic,,,,,,
769,per,Mrs. Wendell,,,,,,,
771,loc,Hotel Somerset,accommodation,,,,,,
772,loc,Boston,city,,,,,,
773,date,"Sunday, Nov. 8, 1903",,,,,,,
774,misc,the Japanese wood-carving show,cultural,,,,,,
775,per,Joseph Smith,,,,,,,
777,per,Miss Puffer,,,,,,,
778,per,Mrs. Gardner,art collector,,,,,,
779,per,Rachel ,,,,,,,
780,per,Ralph Perry,scholar,,,,,,
781,per,Roger Fry,artist-painter,,,,,,
782,per,Roger Fry's father,,,,,,,
784,per,Perry,scholar,,,,,,
786,loc,Hotel Somerset,accommodation,,,,,,
787,loc,Boston,city,,,,,,
788,date,"Monday, Nov. 9, 1903",,,,,,,
789,misc,Italian,proper noun adjective,,,,,,
790,misc,quattrocento,"art style, period, or movement",,,,,,
791,misc,Florentines,"art style, period, or movement",,,,,,
792,misc,Sienese,"art style, period, or movement",,,,,,
794,misc,[American landscape painting],art described by region,,,,,,
795,misc,Primitives,"art style, period, or movement",,,,,,
796,misc,“impressionist”,"art style, period, or movement",,,,,,
799,misc,American,proper noun adjective,,,,,,
800,misc,[Modern Art],"art style, period, or movement",,,,,,
802,per,[Mr. Elliott],artist-painter,,,,,,
803,per,[Mrs. Elliott],artist-writer,,,,,,
804,per,“Dooley”,artist-writer,,,,,,
806,per,the mother-in-law,athlete / artist-writer,,,,,,
807,per,Norman Hapgood,artist-writer,,,,,,
808,per,the wife,,,,,,,
811,per,Miss Osgood,artist-writer,,,,,,
813,per,her mother,artist-writer,,,,,,
815,per,Mrs. J. L. Putnam,,,,,,,
816,per,Mr. Kidder,,,,,,,
817,loc,Alaska,state,,,,,,
818,per,Mrs. Toy,,,,,,,
819,per,Barrett Wendell,scholar,,,,,,
820,per,[Mrs. Wendell],,,,,,,
821,per,Santayana,scholar,,,,,,
822,per,[Mr. William James],scholar,,,,,,
823,per,Mrs. William James,scholar,,,,,,
824,per,Mrs. James,,,,,,,
825,per,Sir Frederick Pollock,lawyer,,,,,,
826,per,William James,,,,,,,
828,per,mother,religious figure,,,,,,
829,misc,Christian Secret of a Happy Life,,,,,,,
830,per,Barrett Wendell,scholar,,,,,,
833,loc,Hotel Somerset,accommodation,,,,,,
834,loc,Boston,city,,,,,,
835,date,"Tuesday, Nov. 10, 1903",,,,,,,
836,loc,Museum,cultural heritage institution,,,,,,
837,misc,Italian pictures,art described by region,,,,,,
838,per,Mrs. Gardner,art collector ,,,,,,
839,misc,the “Opening” of the Germanic Museum,cultural ,,,,,,
840,loc,Germanic Museum,cultural heritage institution,,,,,,
842,per,William James,scholar,,,,,,
844,misc,German art,art described by region,,,,,,
845,per,Karl Schurze,public figure,,,,,,
846,per,Shakspeare,artist-writer,,,,,,
847,misc,German,proper noun adjective,,,,,,
849,per,Prof. Norton,professor,,,,,,
850,per,James Loeb,banker,,,,,,
851,per,a poor little Jew scultpor,artist-sculptor,,,,,,
853,org,the Perrys en famille,family unit,,,,,,
854,per,Mrs. Whitman,artist-painter,,,,,,
856,org,The Perry Girls,family unit,,,,,,
857,loc,Hotel Somerset,accommodation,,,,,,
858,loc,Boston,city,,,,,,
859,date,"Wednesday, Nov. 11, 1903",,,,,,,
860,loc,Museum,cultural heritage institution,,,,,,
861,per,Mr. Loeb,public figure,,,,,,
862,misc,Philistine,proper noun adjective,,,,,,
864,per,Bernhard's,,,,,,,
865,misc,Poetry Prize,award,,,,,,
867,loc,Panama,country,,,,,,
868,misc,Tammany Victory,historic,,,,,,
870,per,B. B.,,,,,,,
872,per,Miss Reed,,,,,,,
873,per,Gertrude,,,,,,,
874,per,Mrs. Morss,,,,,,,
875,per,Bernhard,,,,,,,
877,per,Mrs. Pringsheim,,,,,,,
878,per,Mrs. Longyear,religious figure,,,,,,
879,misc,[Christian Science],religious beliefs / practices,,,,,,
880,misc,Francisian,proper noun adjective,,,,,,
892,per,B. B.,,,,,,,
895,misc,Christian Science meeting,religious,,,,,,
896,per,Bernhard,,,,,,,
900,per,Mrs Longyear,religious figure,,,,,,
901,per,her son,,,,,,,
902,per,Miss Leslie Hopkinson,,,,,,,
903,loc,Cambridge,city,,,,,,
904,per,the Fletcheres [Mr. Fletcher],,,,,,,
905,per,the Fletcheres [Mrs. Fletcher],,,,,,,
906,per,the Weir Smyths [Mr. Weir Smyth],scholar,,,,,,
907,per,the Weir Smyths [Mrs. Smyth],,,,,,,
908,per,Mr. Baker,banker,,,,,,
909,loc,Hotel Somerset,accommodation,,,,,,
910,loc,Boston,city,,,,,,
911,date,"Thursday, Nov. 12, 1903",,,,,,,
912,per,Rachel,,,,,,,
913,loc,Museum,cultural heritage institution,,,,,,
914,per,Mr. Denman Ross,public figure / artist-painter,,,,,,
915,misc,the early Chinese paintings,art collection,,,,,,
916,date,XI-XII century,,,,,,,
917,per,Ririomon,artist-painter,,,,,,
918,misc,Japanese things,?,,,,,,
919,misc,Chinese figure,sculpture,,,,,,
920,misc,Japanese thing,?,,,,,,
922,per,Mr. Ross,public figure / artist-painter,,,,,,
923,misc,Eastern Art,art described by region,,,,,,
924,misc,Italian Art,art described by region,,,,,,
926,misc,[Veronese picture],painting,,,,,,
927,misc,Veronese,"art style, period, or movement",,,,,,
928,misc,Italian Art,art described by region,,,,,,
930,per,Bernhard,,,,,,,
931,per,Fox,,,,,,,
932,loc,Litchfield,city,,,,,,
933,loc,Boston,city,,,,,,
934,per,the Barrett Wendells [Mr. Wendell],scholar,,,,,,
935,per,the Barrett Wendells [Mrs. Wendell],,,,,,,
936,per,Robinsons [Mrs. Robinson],,,,,,,
937,per,Robinsons [Mr. Robinson],curator,,,,,,
938,per,Mr. and Mrs. Sturgis [Mr. Sturgis],architect,,,,,,
939,per,Mr. and Mrs. Sturgis [Mrs. Sturgis],,,,,,,
940,per,Mr. and Mrs. Bowllkes [Mr. Bowlkes],,,,,,,
941,per,Mr. and Mrs. Bowllkes [Mrs. Bowlkes],,,,,,,
942,per,daughter of Richardson the archaeologist,,,,,,,
943,per,Richardson the archaeologist,archaeologist,,,,,,
944,misc,Christian Science principles,religious beliefs / practices,,,,,,
945,per,Bishop of Massachusetts,religious figure,,,,,,
946,loc,England,country,,,,,,
948,loc,Hotel Somerset,accommodation,,,,,,
949,loc,Boston,city,,,,,,
950,date,"Friday, Nov. 13, 1903",,,,,,,
951,loc,Museum,cultural heritage institution,,,,,,
952,per,Bernhard,,,,,,,
953,per,Mr. Sam Warren,public figure,,,,,,
954,per,Mr. Cabot,public figure,,,,,,
955,loc,downtown,neighborhood,,,,,,
956,loc,Museum,cultural heritage institution,,,,,,
957,per,Gertrude,,,,,,,
958,per,Mr. Fox,architect,,,,,,
959,per,Mrs. Sprague,artist-writer,,,,,,
960,misc,Hogarth’s Selbstporträt,painting,,,,,,
961,per,Hogarth,artist-painter,,,,,,
962,per,Mrs. Henry Higginson,,,,,,,
963,per,Mrs. Agassiz,public figure,,,,,,
965,loc,Symphony,cultural heritage institution,,,,,,
966,per,Miss Norton,,,,,,,
967,per,C. E. Norton,professor / artist-writer,,,,,,
968,per,Mrs. Roger,,,,,,,
969,org,the Italians,described by nationality,,,,,,
972,per,Mr. Dorr,public figure,,,,,,
973,per,[Admiral Crowninshield],public figure,,,,,,
974,per,Mrs. Crowninshield,artist-writer,,,,,,
975,per,[Mr. Peabody],religious figure,,,,,,
976,per,Mrs. Peabody,,,,,,,
977,loc,Hotel Somerset,accomodation,,,,,,
978,loc,Boston,city,,,,,,
979,date,"Saturday, Nov. 14, 1903",,,,,,,
980,loc,Museum,cultural heritage institution,,,,,,
981,loc,Cambridge,city,,,,,,
982,per,Mrs. Gardner,art collector,,,,,,
983,loc,Fenway Court,cultural heritage institution,,,,,,
985,misc,Bardini blue,color,,,,,,
986,loc,[Bardini Museum],cultural heritage institution,,,,,,
987,per,[Bardini],art collector,,,,,,
989,per,Bernhard,art historian,,,,,,
990,per,her,art collector,,,,,,
991,misc,"a Chigi ""Tintoretto""",painting,,,,,,
992,per,[(a Domenico)],artist-painter,,,,,,
994,misc,The little Mantegna,painting,,,,,,
995,per,Mantegna,artist-painter,,,,,,
996,per,Potter,architect,,,,,,
998,misc,Passari Tura Circumcision,painting,,,,,,
999,per,Tura,artist-painter,,,,,,
1000,misc,the great Chigi Botticelli,painting,,,,,,
1001,per,Botticelli,artist-painter,,,,,,
1002,misc,"that poor school piece, a Nativity and Shepherds",painting,,,,,,
1003,per,Botticelli,artist-painter,,,,,,
1004,per,Duca di Brindisi,historic,,,,,,
1005,loc,Palazzo Antinori,residence,,,,,,
1006,loc,Florence,city,,,,,,
1007,date,[1901],,,,,,,
1008,per,Horne,art collector,,,,,,
1009,per,B.B.,art historian,,,,,,
1011,per,Bernhard,art historian,,,,,,
1012,per,Mrs. Gardner,,,,,,,
1013,misc,Chinese bracelet,gift,,,,,,
1014,per,she,art collector,,,,,,
1015,per,Mr. Proctor,artist-musician,,,,,,
1016,loc,the Symphony,cultural hertiage institution,,,,,,
1017,per,Mr. Fox,architect,,,,,,
1018,loc,Hotel Somerset,accomodation,,,,,,
1019,loc,Boston,city,,,,,,
1020,date,"Sunday, Nov. 15, 1903",,,,,,,
1021,per,Miss Grace Norton,scholar,,,,,,
1022,loc,Fogg Museum,cultural heritage institution,,,,,,
1023,per,Mr. Loeb,public figure,,,,,,
1024,per,Fairfax Murray,art collector / artist-painter,,,,,,
1025,misc,Forman Sale,cultural ,,,,,,
1026,per,Forman,art collector / bibliographer,,,,,,
1028,per,Murray,art collector,,,,,,
1029,per,Mr. Loeb,public figure,,,,,,
1030,per,Murray,art collector,,,,,,
1031,per,Bernhard,art historian,,,,,,
1032,per,Mr. Edward Forbes,art historian,,,,,,
1033,misc,[painting by Niccolò d’Alunno],painting,,,,,,
1034,per,Niccolò d’Alunno,artist-painter,,,,,,
1035,loc,Siena,city,,,,,,
1036,misc,[painting by Girolamo di Benvenuto],painting,,,,,,
1037,per,Girolamo di Benvenuto,artist-painter,,,,,,
1038,loc,Rome,city,,,,,,
1039,misc,[painting by fra Diamante],painting,,,,,,
1040,per,fra Diamante,artist-painter,,,,,,
1041,per,[actual artist of Saint Jerome in the Desert...],artist-painter,,,,,,
1042,loc,Florence,city,,,,,,
1043,per,Antoniazzo,artist-painter,,,,,,
1044,misc,Antoniazzo tabernacolo,sculpture,,,,,,
1045,per,Mr. Moore,curator,,,,,,
1046,per,Antoniazzo,artist-painter,,,,,,
1047,per,Filippino,artist-painter,,,,,,
1048,per,Correggio,artist-painter,,,,,,
1049,misc,[painting by Correggio],painting,,,,,,
1050,per,Fr. Santacroce,artist-painter,,,,,,
1051,misc,[painting by Fr. Santacroce],painting,,,,,,
1052,per,Rondinelli,artist-painter,,,,,,
1053,misc,[painting by Rondinelli],painting,,,,,,
1054,per,Bellini,artist-painter,,,,,,
1055,per,Mrs. Gardner,art collector,,,,,,
1056,per,Mr. Loeb,banker / public figure,,,,,,
1057,loc,Green Hill,accommodation,,,,,,
1058,per,Mr. Dwight,,,,,,,
1059,per,Mr. Bowlker,,,,,,,
1060,per,Mrs. Robinson,,,,,,,
1061,per,Mrs. Tyler,,,,,,,
1062,per,Gertrude,,,,,,,
1064,loc,Dorchester,neighborhood,,,,,,
1065,per,Leon Eiges,,,,,,,
1068,per,Bernhard,art historian,,,,,,
1069,loc,Hotel Somerset,accomodation,,,,,,
1070,loc,Boston,city,,,,,,
1071,date,"Monday, Nov. 16, 1903",,,,,,,
1072,per,Little Rabbi Fleischer,religious figure,,,,,,
1075,loc,Fenway Court,cultural heritage institution,,,,,,
1076,per,Mrs. Gardner,art collector,,,,,,
1078,per,Mrs. Perry,,,,,,,
1079,per,Bernhard,art historian,,,,,,
1080,per,Mason Hodg___,,,,,,,
1081,per,E______,,,,,,,
1082,per,Tarbell,artist-painter,,,,,,
1083,per,Dove,,,,,,,
1084,per,Peabody,,,,,,,
1085,per,Phillip Hale,,,,,,,
1086,per,Ware,,,,,,,
1087,per,Slater,,,,,,,
1088,per,Dietrich,,,,,,,
1089,per,Higginson,public figure,,,,,,
1090,per,[James],,,,,,,
1091,per,Russell,,,,,,,
1092,per,[Cabot],,,,,,,
1093,per,[Hale],,,,,,,
1094,per,Bigelow,,,,,,,
1095,per,Mollie Osgood,artist-writer,,,,,,
1096,per,the nice young Englishman,artist-writer,,,,,,
1097,per,[Perry Girl #1],,,,,,,
1098,per,[Perry Girl #2],,,,,,,
1099,loc,Brookline,city,,,,,,
1100,per,Bernhard,art historian,,,,,,
1101,per,Helen Hopekirk Wilson,artist-musician,,,,,,
1102,per,her husband,,,,,,,
1103,per,Debussy,artist-composer,,,,,,
1104,misc,[piece by Debussy],,,,,,,
1105,per,César Franck,artist-composer,,,,,,
1106,misc,[piece by César Franck],,,,,,,
1107,per,Bach,artist-composer,,,,,,
1108,misc,[piece by Bach],,,,,,,
1110,loc,Hotel Somerset,accomodation,,,,,,
1111,loc,Boston,city,,,,,,
1112,date,"Tuesday, Nov. 17, 1903",,,,,,,
1113,misc,the Greek Bronzes,art collection,,,,,,
1114,per,Mr. Robinson,curator,,,,,,
1115,misc,Italian Art,art described by region,,,,,,
1116,per,Gertrude Hitz,social reformer,,,,,,
1117,per,Alfred Burton,public figure,,,,,,
1118,loc,Institute of Technology,school,,,,,,
1119,loc,Fenway Court,cultural heritage institution,,,,,,
1120,per,Mrs. Gardner,art collector,,,,,,
1121,misc,Powell-Carew Holbein dispute,art historical debate,,,,,,
1122,per,Holbein,artist-painter,,,,,,
1124,per,Clayton Johns,artist-musician,,,,,,
1125,per,Mr. Swift,,,,,,,
1126,per,[Mr. Adamowski],artist-musician,,,,,,
1127,per,Mrs. Adamowski,,,,,,,
1128,per,Mr. William Blake,,,,,,,
1129,per,Gladys,,,,,,,
1130,per,Mrs. Baldwin,,,,,,,
1131,per,her mother,,,,,,,
1133,per,Clayton Johns,artist-musician,,,,,,
1134,per,Mrs. Gardner,art collector,,,,,,
1135,org,Thursday Evening Club,club,,,,,,
1137,per,[Mr. Longyear],public figure,,,,,,
1138,per,Mrs. Longyear,religious figure,,,,,,
1139,misc,Christian Science,religious beliefs / practices,,,,,,
1140,per,"""Healer""",religious figure,,,,,,
1142,per,Carpaccio,artist-painting,,,,,,
1143,misc,Carpaccio's picture,painting,,,,,,
1144,per,St. Jerome,religious figure,,,,,,
1145,per,Mrs. Longyear,religious figure,,,,,,
1147,per,____ Longyear,public figure,,,,,,
1149,loc,Hotel Somerset,accomodation,,,,,,
1150,loc,Boston,city,,,,,,
1151,date,"Wednesday, Nov. 18, 1903",,,,,,,
1152,per,Bernhard,art historian,,,,,,
1153,per,Ellen Hale,artist-painter,,,,,,
1154,loc,the Museum,cultural heritage institution,,,,,,
1155,per,Mrs. Berenson,,,,,,,
1156,per,Miss Hale,artist-painter,,,,,,
1157,loc,Cambridge,city,,,,,,
1158,per,Rachel,,,,,,,
1159,per,Mrs. Willard,,,,,,,
1160,per,Mrs. West,,,,,,,
1161,per,B.B.,art historian,,,,,,
1162,per,Ethel Puffer,public figure,,,,,,
1163,per,Prof. Royce,professor,,,,,,
1164,per,Prof. Münsterberg,psychologist,,,,,,
1165,per,Santayana,scholar,,,,,,
1166,per,Münsterberg,professor,,,,,,
1167,loc,the Germanic Museums,cultural heritage instituton,,,,,,
1169,per,B.B.,art historian,,,,,,
1170,per,Lippmann,businessman,,,,,,
1172,misc,St. Louis Fair,cultural ,,,,,,
1174,per,Prof. Royce,professor,,,,,,
1175,per,Bertie,art historian,,,,,,
1177,loc,Harvard,school,,,,,,
1178,per,Miss. Puffer,public figure,,,,,,
1179,per,the Longyears [Mr. Longyear],public figure,,,,,,
1180,per,the Longyears [Mrs. Longyear],religious figure,,,,,,
1181,loc,"""Christian Science Temple""",religious,,,,,,
1182,misc,Experience Meeting,cultural ,,,,,,
1183,misc,Bible,,,,,,,
1184,per,Mrs. Mary Baker G. Eddy,religious figure,,,,,,
1185,per,Mrs. Longyear,religious figure,,,,,,
1186,per,Bernhard,art historian,,,,,,
1187,misc,"[Christian Science ""treatment""]",religious beliefs / practices,,,,,,
1188,per,Barrett Wendell,scholar,,,,,,
1189,misc,"""Wednesday Evening Club""",cultural,,,,,,
1190,date,1776,,,,,,,
1191,per,Mr. Rhodes,scholar,,,,,,
1193,loc,Hotel Somerset,accomodation,,,,,,
1194,loc,Boston,city,,,,,,
1195,date,"Thursday, Nov. 19, 1903",,,,,,,
1196,per,Bernhard,art historian,,,,,,
1198,misc,"[Christian Science ""treatment""]",religious beliefs / practices,,,,,,
1199,per,Miss Puffer,psychologist,,,,,,
1200,loc,Wellesley,school,,,,,,
1201,misc,gave a lecture,lecture,,,,,,
1202,loc,Smith,school,,,,,,
1203,per,Miss Hazard,public figure,,,,,,
1204,per,Mrs. Gardner,art collector,,,,,,
1206,loc,Club House,"school, part of",,,,,,
1207,org,the girls who go in to art,academic,,,,,,
1208,org,[Wellesley College English Department],academic,,,,,,
1209,per,B.B.,art historian,,,,,,
1210,per,the Tylers [Mr. Tyler],,,,,,,
1211,per,the Tylers [Mrs. Tyler],,,,,,,
1212,per,Mr. Gale,,,,,,,
1213,per,his wife,,,,,,,
1214,per,Mrs. Fox,architect,,,,,,
1215,per,"""brother Charles""",,,,,,,
1217,loc,Hotel Somerset,accomodation,,,,,,
1218,loc,Boston,city,,,,,,
1219,date,"Friday, Nov. 20, 1903",,,,,,,
1220,per,Miss Norton,scholar,,,,,,
1221,per,Mr. Bullard,art collector,,,,,,
1222,loc,the Museum,cultural heritage institution,,,,,,
1224,per,Miss Norton,scholar,,,,,,
1225,per,Mr. Bullard,art collector,,,,,,
1226,per,Bernhard,art historian,,,,,,
1227,per,Miss Norton,,,,,,,
1228,per,Joseph Lyndon Smith,artist-painter,,,,,,
1229,misc,Joseph Lyndon Smith’s exhibition of pictures,cultural,,,,,,
1230,loc,Sicily,region,,,,,,
1231,per,Miss Norton,scholar,,,,,,
1232,per,B.B.,art historian,,,,,,
1233,per,a man,,,,,,,
1234,per,Mr. Smith,artist-painter,,,,,,
1236,per,Bernhard,art historian,,,,,,
1237,loc,Cambridge,city,,,,,,
1238,per,Mrs. Barrett Wendell,,,,,,,
1239,per,Mrs. Rogers,,,,,,,
1240,per,Mrs. Endicott Peabody,,,,,,,
1241,per,Mrs. Burr,,,,,,,
1242,per,Mrs. Parkman,,,,,,,
1243,per,Miss Robins,,,,,,,
1244,per,Santayana,scholar,,,,,,
1245,loc,Cambridge,city,,,,,,
1246,per,B.B.,art historian,,,,,,
1247,per,Miss Robins,,,,,,,
1248,per,the James' [Mr. James],scholar,,,,,,
1249,per,the James' [Mrs. James],,,,,,,
1250,per,Mr. Denman Ross,public figure / artist-painter,,,,,,
1251,per,Mr. Minturn,,,,,,,
1252,per,Miss Coombe,,,,,,,
1253,per,Mrs. Goodwin,,,,,,,
1254,per,Mr. William James,scholar,,,,,,
1255,per,Mr. Ross ,public figure / artist-painter,,,,,,
1256,per,Mr. Ross ,public figure / artist-painter,,,,,,
1257,per,Titian,artist-painter,,,,,,
1258,misc,Europa,painting,,,,,,
1259,per,Veronese,artist-painter / curator,,,,,,
1260,misc,"that fake ""Veronese""",painting,,,,,,
1262,per,B.B.,art historian,,,,,,
1263,per,George Fox,religious figure,,,,,,
1264,loc,Lichfield,city,,,,,,
1265,loc,Boston,city,,,,,,
1267,per,Bernhard,art historian,,,,,,
1268,misc,"[Christian Science ""treatment""]",religious beliefs / practices,,,,,,
1269,per,Mrs. Longyear,religious figure,,,,,,
1270,loc,Hotel Somerset,accomodation,,,,,,
1271,loc,Boston,city,,,,,,
1272,date,"Saturday, Nov. 21, 1903",,,,,,,
1273,per,Bernhard,art historian,,,,,,
1274,misc,"[Christian Science ""treatment""]",religious beliefs / practices,,,,,,
1275,per,Mrs. Longyear,religious figure,,,,,,
1276,per,Mr. Updike,printer,,,,,,
1277,loc,printing establishment,business,,,,,,
1279,per,B.B.,art historian,,,,,,
1280,loc,Cambridge,city,,,,,,
1281,per,Miss Norton,scholar,,,,,,
1282,misc,football match,cultural,,,,,,
1283,org,Yale,athletic team,,,,,,
1284,org,Harvard,athletic team,,,,,,
1285,per,Mrs. Whitman,artist-painter,,,,,,
1286,misc,[Symphony Concert],cultural,,,,,,
1288,org,the Perrys,family unit,,,,,,
1289,per,[Mrs. Perry],,,,,,,
1290,per,the Samuel Warrens [Samuel Warren],lawyer,,,,,,
1291,per,the Samuel Warrens [Mrs. Warren],,,,,,,
1292,org,Rogers,family unit,,,,,,
1293,org,Grays,family unit,,,,,,
1294,per,Lyndon Smiths [Lyndon Smith],artist-painter,,,,,,
1295,per,Lyndon Smiths [Mrs. Smith],,,,,,,
1296,per,Miss Reed,,,,,,,
1297,per,Prof. Powers,professor,,,,,,
1298,org,“Bureau of International Travel”,political,,,,,,
1299,per,Mrs. Gardner,art collector,,,,,,
1300,per,Mr. Proctor,artist-musician,,,,,,
1301,loc,the Symphony  ,cultural heritage institution,,,,,,
1302,org,the family,family unit,,,,,,
1303,loc,Savin Hill,neighborhood,,,,,,
1304,per,Rachel,,,,,,,
1305,per,Ralph Perry,scholar,,,,,,
1307,per,Mrs. Gardner,art collector,,,,,,
1309,per,B.B.,,,,,,,
1310,loc,Hotel Somerset,accommodation,,,,,,
1311,loc,Boston,city,,,,,,
1312,date,"Sunday, Nov. 22, 1903",,,,,,,
1313,per,Bernhard,,,,,,,
1314,misc,Christian Science,religious beliefs / practices,,,,,,
1315,misc,Christian Science meeting,religious,,,,,,
1317,loc,Cambridge,city,,,,,,
1318,per,Mr. Denman Ross,public figure / artist-painter,,,,,,
1319,misc,[Chinese art],art described by region,,,,,,
1320,misc,Japanese Art,art described by region,,,,,,
1321,misc,[Eastern art],art described by region,,,,,,
1322,misc,[Denman Waldo Ross' art],?,,,,,,
1324,per,Ingres,artist-painter,,,,,,
1325,per,Velasquez,artist-painter,,,,,,
1326,per,Manet,artist-painter,,,,,,
1327,per,Michelangelo,artist-painter,,,,,,
1328,per,Degas,artist-painter,,,,,,
1329,per,Mrs. Gardner,art collector,,,,,,
1330,per,Fairfax Murray,art collector,,,,,,
1332,per,Mrs. Fletcher,,,,,,,
1333,per,Miss Allyn,,,,,,,
1334,per,the Moores [Mr. Moore],scholar,,,,,,
1335,per,the Moores [Mrs. Moore],,,,,,,
1336,per,Thayers [Mr. Thayer],,,,,,,
1337,per,Thayers [Mrs. Thayer],,,,,,,
1338,per,"Mrs. Sampson, née Ware",,,,,,,
1339,per,B.B.,,,,,,,
1340,per,Mrs. Toy,,,,,,,
1341,per,Conte Campello,religious figure,,,,,,
1342,misc,the Nation,newspaper,,,,,,
1343,per,Warburg,art historian,,,,,,
1344,per,Logan,artist-writer,,,,,,
1345,per,Aunt Janet,,,,,,,
1346,per,Conway Felton,,,,,,,
1347,loc,Santa Barbara,city,,,,,,
1348,per,Longyear,religious figure,,,,,,
1349,per,Old Mrs. Ross,,,,,,,
1350,loc,Hotel Somerset,accommodation,,,,,,
1351,loc,Boston,city,,,,,,
1352,date,"Monday, Nov. 23, 1903",,,,,,,
1353,per,Mrs. Tyler,,,,,,,
1354,per,Mr. Fox,architect,,,,,,
1355,per,Larz Anderson,,,,,,,
1356,per,Mr. Anderson,,,,,,,
1358,per,B.B.,,,,,,,
1359,per,Clayton Johns,artist-musician,,,,,,
1360,loc,Tavern Club,club,,,,,,
1361,per,Mrs. Peabody,,,,,,,
1362,per,Mrs. Kahn,,,,,,,
1363,per,B.B.,,,,,,,
1364,per,Mrs. Perry,,,,,,,
1365,per,Mrs. Morss,,,,,,,
1366,per,Mr. I. Mackintosh. Bell,,,,,,,
1367,loc,British Columbia,region,,,,,,
1368,loc,Hudson's Bay,body of water,,,,,,
1369,org,Indians,ethnic group,,,,,,
1370,org,Esquimaux,ethnic group,,,,,,
1371,loc,Hotel Somerset,accommodation,,,,,,
1372,loc,Boston,city,,,,,,
1373,date,"Tuesday, Nov. 24, 1903",,,,,,,
1374,loc,Cambridge,city,,,,,,
1375,per,Prof. Norton,professor,,,,,,
1376,per,Santayana,scholar,,,,,,
1377,per,the daughter Santayana christened “Paradiso”,,,,,,,
1378,per,Santayana,scholar,,,,,,
1380,per,Norton,professor,,,,,,
1381,misc,[Bassano paintings],painting,,,,,,
1382,per,Bassano,artist-painter,,,,,,
1383,per,Tintoretto,artist-painter,,,,,,
1384,misc,[Burne-Jones drawings],drawing,,,,,,
1385,per,Burne-Jones,artist-painter,,,,,,
1386,misc,[Blake drawing],drawing,,,,,,
1387,per,Blake,artist-painter / artist-writer,,,,,,
1388,per,Miss Norton,scholar,,,,,,
1389,per,Denman Ross,public figure / artist-painter,,,,,,
1391,loc,the Union,club,,,,,,
1392,per,Santayana,scholar,,,,,,
1393,per,the Toys [Mr. Toy],,,,,,,
1394,per,the Toys [Mrs. Toy],,,,,,,
1395,per,Bullard [Mr. Bullard],art collector,,,,,,
1396,per,Mrs. Agassiz,public figure,,,,,,
1397,per,Pringsheims [Mr. Pringsheim],art collector,,,,,,
1398,per,Pringsheims [Mrs. Pringsheim],,,,,,,
1400,per,Rabbi Fleischer,religious figure,,,,,,
1402,per,the Wilsons [Mr. Wilson],,,,,,,
1403,per,the Wilsons [Mrs. Wilson],artist-musician,,,,,,
1404,per,Helen,artist-musician,,,,,,
1405,misc,[music by Bach],,,,,,,
1406,per,Bach,artist-composer,,,,,,
1407,loc,Hotel Somerset,accommodation,,,,,,
1408,loc,Boston,city,,,,,,
1409,date,"Wednesday, Nov. 25, 1903",,,,,,,
1410,per,Mrs. Gardner,art collector,,,,,,
1411,per,Zorn,artist-painter / artist-sculptor,,,,,,
1412,per,B. B.,,,,,,,
1414,per,Mr. Macomber,art collector,,,,,,
1415,misc,[Italian art],art described by region,,,,,,
1418,per,Mrs. Whitman,artist-painter,,,,,,
1419,misc,[Sarah Whitman paintings],painting,,,,,,
1420,misc,[Sarah Whitman stained glass],stained glass,,,,,,
1422,per,Mr. Templeman Coolidge,art collector,,,,,,
1423,per,his wife,,,,,,,
1424,per,"the historian, Parkman",artist-writer / scholar,,,,,,
1425,per,Senda,,,,,,,
1426,per,Mr. Perry,scholar,,,,,,
1427,per,Mrs. Hooker,,,,,,,
1428,per,the Bowlkers [Mr. Bowlker],,,,,,,
1429,per,the Bowlkers [Mrs. Bowlker],,,,,,,
1430,per,Mrs. Bowlker,,,,,,,
1432,loc,Hotel Somerset,accommodation,,,,,,
1433,loc,Boston,city,,,,,,
1434,misc,Thanksgiving,cultural,,,,,,
1435,date,"Thursday, Nov. 26, 1903",,,,,,,
1436,loc,New England,region,,,,,,
1437,per,Senda,,,,,,,
1438,per,little Mrs. Berenson,,,,,,,
1439,loc,Hotel Somerset,accommodation,,,,,,
1440,loc,Boston,city,,,,,,
1441,date,"Friday, Nov. 27, 1903",,,,,,,
1442,per,Denman ross,public figure / artist-painter,,,,,,
1443,loc,Museum,cultural heritage institution,,,,,,
1444,misc,[16 pictures of Rakkan],?,,,,,,
1445,per,Rakkan,religious figure,,,,,,
1446,per,Dureresque,artist-printmaker,,,,,,
1447,misc,[Japanese art],art described by region,,,,,,
1448,misc,[Chinese art],art described by region,,,,,,
1450,per,Mr. Pritchard,art historian,,,,,,
1451,per,Mr. Ross,public figure / artist-painter,,,,,,
1452,per,Billy Taylor,,,,,,,
1453,per,Denman Ross,public figure / artist-painter,,,,,,
1454,per,Alfred Burton,public figure,,,,,,
1455,loc,Newton,city,,,,,,
