note,type,value,exactMatch,partialMatch,matchValue,typeMatch
medical professional,per,Paul Thorndyke,,,,False
,per,[Mrs. Thorndyke],,partial,Mrs.,True
medical professional,per,Dr. Thorndyke,,,,False
,per,"his wife, a daughter of General Sherman",,,,False
historic,per,General Sherman,,,,False
,per,Mrs. Wendell,,partial,Mrs.,True
accommodation,loc,Hotel Somerset,,,,False
city,loc,Boston,exact,,Boston,True
,date,"Sunday, Nov. 8, 1903",,,,False
cultural,misc,the Japanese wood-carving show,,partial,Japanese,True
,per,Joseph Smith,,,,False
,per,Miss Puffer,,,,False
art collector,per,Mrs. Gardner,exact,,Mrs. Gardner,True
,per,Rachel ,,partial,Rachel,True
scholar,per,Ralph Perry,,,,False
artist-painter,per,Roger Fry,,,,False
,per,Roger Fry's father,,,,False
scholar,per,Perry,,partial,H. Perry,True
accommodation,loc,Hotel Somerset,,,,False
city,loc,Boston,exact,,Boston,True
,date,"Monday, Nov. 9, 1903",,,,False
proper noun adjective,misc,Italian,exact,,Italian,True
"art style, period, or movement",misc,quattrocento,,,,False
"art style, period, or movement",misc,Florentines,,,,False
"art style, period, or movement",misc,Sienese,,,,False
art described by region,misc,[American landscape painting],,partial,America,False
"art style, period, or movement",misc,Primitives,,,,False
"art style, period, or movement",misc,“impressionist”,,,,False
proper noun adjective,misc,American,,partial,Americans,True
"art style, period, or movement",misc,[Modern Art],,,,False
artist-painter,per,[Mr. Elliott],,,,False
artist-writer,per,[Mrs. Elliott],,partial,Mrs.,True
artist-writer,per,“Dooley”,,,,False
athlete / artist-writer,per,the mother-in-law,,,,False
artist-writer,per,Norman Hapgood,,,,False
,per,the wife,,,,False
artist-writer,per,Miss Osgood,,,,False
artist-writer,per,her mother,,,,False
,per,Mrs. J. L. Putnam,,partial,Mrs.,True
,per,Mr. Kidder,,,,False
state,loc,Alaska,,,,False
,per,Mrs. Toy,exact,,Mrs. Toy,True
scholar,per,Barrett Wendell,,,,False
,per,[Mrs. Wendell],,partial,Mrs.,True
scholar,per,Santayana,exact,,Santayana,False
scholar,per,[Mr. William James],,partial,James,True
scholar,per,Mrs. William James,,partial,Mrs.,True
,per,Mrs. James,,partial,Mrs.,True
lawyer,per,Sir Frederick Pollock,,,,False
,per,William James,,partial,James,True
religious figure,per,mother,,partial,Mother Superior,True
,misc,Christian Secret of a Happy Life,,,,False
scholar,per,Barrett Wendell,,,,False
accommodation,loc,Hotel Somerset,,,,False
city,loc,Boston,exact,,Boston,True
,date,"Tuesday, Nov. 10, 1903",,,,False
cultural heritage institution,loc,Museum,,partial,Art Museum,True
art described by region,misc,Italian pictures,,partial,Italian,True
art collector ,per,Mrs. Gardner,exact,,Mrs. Gardner,True
cultural ,misc,the “Opening” of the Germanic Museum,,,,False
cultural heritage institution,loc,Germanic Museum,,,,False
scholar,per,William James,,partial,James,True
art described by region,misc,German art,,,,False
public figure,per,Karl Schurze,,,,False
artist-writer,per,Shakspeare,,,,False
proper noun adjective,misc,German,,,,False
professor,per,Prof. Norton,,,,False
banker,per,James Loeb,,partial,James,True
artist-sculptor,per,a poor little Jew scultpor,,,,False
family unit,org,the Perrys en famille,,,,False
artist-painter,per,Mrs. Whitman,,partial,Mrs.,True
family unit,org,The Perry Girls,,,,False
accommodation,loc,Hotel Somerset,,,,False
city,loc,Boston,exact,,Boston,True
,date,"Wednesday, Nov. 11, 1903",,,,False
cultural heritage institution,loc,Museum,,partial,Art Museum,True
public figure,per,Mr. Loeb,,,,False
proper noun adjective,misc,Philistine,,,,False
,per,Bernhard's,,partial,Bernhard,False
award,misc,Poetry Prize,,,,False
country,loc,Panama,,,,False
historic,misc,Tammany Victory,,,,False
,per,B. B.,exact,,B. B.,True
,per,Miss Reed,,,,False
,per,Gertrude,exact,,Gertrude,False
,per,Mrs. Morss,,partial,Mrs.,True
,per,Bernhard,exact,,Bernhard,False
,per,Mrs. Pringsheim,,partial,Mrs.,True
religious figure,per,Mrs. Longyear,,partial,Mrs.,True
religious beliefs / practices,misc,[Christian Science],,,,False
proper noun adjective,misc,Francisian,,,,False
,per,B. B.,exact,,B. B.,True
religious,misc,Christian Science meeting,,,,False
,per,Bernhard,exact,,Bernhard,False
religious figure,per,Mrs Longyear,,,,False
,per,her son,,,,False
,per,Miss Leslie Hopkinson,,partial,Leslie Hopkinson,True
city,loc,Cambridge,,,,False
,per,the Fletcheres [Mr. Fletcher],,,,False
,per,the Fletcheres [Mrs. Fletcher],,partial,Mrs.,True
scholar,per,the Weir Smyths [Mr. Weir Smyth],,,,False
,per,the Weir Smyths [Mrs. Smyth],,partial,Mrs.,True
banker,per,Mr. Baker,,,,False
accommodation,loc,Hotel Somerset,,,,False
city,loc,Boston,exact,,Boston,True
,date,"Thursday, Nov. 12, 1903",,,,False
,per,Rachel,exact,,Rachel,True
cultural heritage institution,loc,Museum,,partial,Art Museum,True
public figure / artist-painter,per,Mr. Denman Ross,,,,False
art collection,misc,the early Chinese paintings,,partial,Chinese,True
,date,XI-XII century,,,,False
artist-painter,per,Ririomon,,,,False
?,misc,Japanese things,,partial,Japanese,True
sculpture,misc,Chinese figure,,partial,Chinese,True
?,misc,Japanese thing,,partial,Japanese,True
public figure / artist-painter,per,Mr. Ross,,,,False
art described by region,misc,Eastern Art,,,,False
art described by region,misc,Italian Art,,partial,Italian,True
painting,misc,[Veronese picture],,,,False
"art style, period, or movement",misc,Veronese,,,,False
art described by region,misc,Italian Art,,partial,Italian,True
,per,Bernhard,exact,,Bernhard,False
,per,Fox,,,,False
city,loc,Litchfield,,,,False
city,loc,Boston,exact,,Boston,True
scholar,per,the Barrett Wendells [Mr. Wendell],,,,False
,per,the Barrett Wendells [Mrs. Wendell],,partial,Mrs.,True
,per,Robinsons [Mrs. Robinson],,partial,Mrs.,True
curator,per,Robinsons [Mr. Robinson],,,,False
architect,per,Mr. and Mrs. Sturgis [Mr. Sturgis],,partial,Mrs.,True
,per,Mr. and Mrs. Sturgis [Mrs. Sturgis],,partial,Mrs.,True
,per,Mr. and Mrs. Bowllkes [Mr. Bowlkes],,partial,Mrs.,True
,per,Mr. and Mrs. Bowllkes [Mrs. Bowlkes],,partial,Mrs.,True
,per,daughter of Richardson the archaeologist,,,,False
archaeologist,per,Richardson the archaeologist,,,,False
religious beliefs / practices,misc,Christian Science principles,,,,False
religious figure,per,Bishop of Massachusetts,,,,False
country,loc,England,exact,,England,True
accommodation,loc,Hotel Somerset,,,,False
city,loc,Boston,exact,,Boston,True
,date,"Friday, Nov. 13, 1903",,,,False
cultural heritage institution,loc,Museum,,partial,Art Museum,True
,per,Bernhard,exact,,Bernhard,False
public figure,per,Mr. Sam Warren,,,,False
public figure,per,Mr. Cabot,,,,False
neighborhood,loc,downtown,,,,False
cultural heritage institution,loc,Museum,,partial,Art Museum,True
,per,Gertrude,exact,,Gertrude,False
architect,per,Mr. Fox,,,,False
artist-writer,per,Mrs. Sprague,,partial,Mrs.,True
painting,misc,Hogarth’s Selbstporträt,,,,False
artist-painter,per,Hogarth,,,,False
,per,Mrs. Henry Higginson,,partial,Higginson,True
public figure,per,Mrs. Agassiz,,partial,Mrs.,True
cultural heritage institution,loc,Symphony,,partial,Symphony Concert,False
,per,Miss Norton,,,,False
professor / artist-writer,per,C. E. Norton,,,,False
,per,Mrs. Roger,,partial,Mrs.,True
described by nationality,org,the Italians,,partial,Italian,False
public figure,per,Mr. Dorr,,,,False
public figure,per,[Admiral Crowninshield],,,,False
artist-writer,per,Mrs. Crowninshield,,partial,Mrs.,True
religious figure,per,[Mr. Peabody],,,,False
,per,Mrs. Peabody,,partial,Mrs.,True
accomodation,loc,Hotel Somerset,,,,False
city,loc,Boston,exact,,Boston,True
,date,"Saturday, Nov. 14, 1903",,,,False
cultural heritage institution,loc,Museum,,partial,Art Museum,True
city,loc,Cambridge,,,,False
art collector,per,Mrs. Gardner,exact,,Mrs. Gardner,True
cultural heritage institution,loc,Fenway Court,,,,False
color,misc,Bardini blue,,,,False
cultural heritage institution,loc,[Bardini Museum],,,,False
art collector,per,[Bardini],,,,False
art historian,per,Bernhard,exact,,Bernhard,False
art collector,per,her,,partial,Rabbi Fleischer,True
painting,misc,"a Chigi ""Tintoretto""",,,,False
artist-painter,per,[(a Domenico)],,,,False
painting,misc,The little Mantegna,,,,False
artist-painter,per,Mantegna,,,,False
architect,per,Potter,,,,False
painting,misc,Passari Tura Circumcision,,,,False
artist-painter,per,Tura,,,,False
painting,misc,the great Chigi Botticelli,,,,False
artist-painter,per,Botticelli,,,,False
painting,misc,"that poor school piece, a Nativity and Shepherds",,,,False
artist-painter,per,Botticelli,,,,False
historic,per,Duca di Brindisi,,,,False
residence,loc,Palazzo Antinori,,,,False
city,loc,Florence,exact,,Florence,True
,date,[1901],,,,False
art collector,per,Horne,,,,False
art historian,per,B.B.,,,,False
art historian,per,Bernhard,exact,,Bernhard,False
,per,Mrs. Gardner,exact,,Mrs. Gardner,True
gift,misc,Chinese bracelet,,partial,Chinese,True
art collector,per,she,,,,False
artist-musician,per,Mr. Proctor,,,,False
cultural hertiage institution,loc,the Symphony,,,,False
architect,per,Mr. Fox,,,,False
accomodation,loc,Hotel Somerset,,,,False
city,loc,Boston,exact,,Boston,True
,date,"Sunday, Nov. 15, 1903",,,,False
scholar,per,Miss Grace Norton,,,,False
cultural heritage institution,loc,Fogg Museum,,,,False
public figure,per,Mr. Loeb,,,,False
art collector / artist-painter,per,Fairfax Murray,,,,False
cultural ,misc,Forman Sale,,,,False
art collector / bibliographer,per,Forman,,,,False
art collector,per,Murray,,,,False
public figure,per,Mr. Loeb,,,,False
art collector,per,Murray,,,,False
art historian,per,Bernhard,exact,,Bernhard,False
art historian,per,Mr. Edward Forbes,,,,False
painting,misc,[painting by Niccolò d’Alunno],,,,False
artist-painter,per,Niccolò d’Alunno,,,,False
city,loc,Siena,,,,False
painting,misc,[painting by Girolamo di Benvenuto],,,,False
artist-painter,per,Girolamo di Benvenuto,,,,False
city,loc,Rome,,,,False
painting,misc,[painting by fra Diamante],,,,False
artist-painter,per,fra Diamante,,,,False
artist-painter,per,[actual artist of Saint Jerome in the Desert...],,,,False
city,loc,Florence,exact,,Florence,True
artist-painter,per,Antoniazzo,,,,False
sculpture,misc,Antoniazzo tabernacolo,,,,False
curator,per,Mr. Moore,,,,False
artist-painter,per,Antoniazzo,,,,False
artist-painter,per,Filippino,,,,False
artist-painter,per,Correggio,,,,False
painting,misc,[painting by Correggio],,,,False
artist-painter,per,Fr. Santacroce,,,,False
painting,misc,[painting by Fr. Santacroce],,,,False
artist-painter,per,Rondinelli,,,,False
painting,misc,[painting by Rondinelli],,,,False
artist-painter,per,Bellini,,,,False
art collector,per,Mrs. Gardner,exact,,Mrs. Gardner,True
banker / public figure,per,Mr. Loeb,,,,False
accommodation,loc,Green Hill,exact,,Green Hill,False
,per,Mr. Dwight,,,,False
,per,Mr. Bowlker,,,,False
,per,Mrs. Robinson,,partial,Mrs.,True
,per,Mrs. Tyler,exact,,Mrs. Tyler,True
,per,Gertrude,exact,,Gertrude,False
neighborhood,loc,Dorchester,exact,,Dorchester,True
,per,Leon Eiges,,,,False
art historian,per,Bernhard,exact,,Bernhard,False
accomodation,loc,Hotel Somerset,,,,False
city,loc,Boston,exact,,Boston,True
,date,"Monday, Nov. 16, 1903",,,,False
religious figure,per,Little Rabbi Fleischer,,partial,Rabbi Fleischer,True
cultural heritage institution,loc,Fenway Court,,,,False
art collector,per,Mrs. Gardner,exact,,Mrs. Gardner,True
,per,Mrs. Perry,,partial,Mrs.,True
art historian,per,Bernhard,exact,,Bernhard,False
,per,Mason Hodg___,,,,False
,per,E______,,,,False
artist-painter,per,Tarbell,,,,False
,per,Dove,,,,False
,per,Peabody,,,,False
,per,Phillip Hale,,,,False
,per,Ware,,,,False
,per,Slater,,,,False
,per,Dietrich,,,,False
public figure,per,Higginson,exact,,Higginson,True
,per,[James],,partial,James,True
,per,Russell,,,,False
,per,[Cabot],,,,False
,per,[Hale],,,,False
,per,Bigelow,,,,False
artist-writer,per,Mollie Osgood,,,,False
artist-writer,per,the nice young Englishman,,,,False
,per,[Perry Girl #1],,,,False
,per,[Perry Girl #2],,,,False
city,loc,Brookline,exact,,Brookline,True
art historian,per,Bernhard,exact,,Bernhard,False
artist-musician,per,Helen Hopekirk Wilson,,partial,Wilson,False
,per,her husband,,,,False
artist-composer,per,Debussy,,,,False
,misc,[piece by Debussy],,,,False
artist-composer,per,César Franck,,,,False
,misc,[piece by César Franck],,,,False
artist-composer,per,Bach,exact,,Bach,False
,misc,[piece by Bach],,partial,Bach,True
accomodation,loc,Hotel Somerset,,,,False
city,loc,Boston,exact,,Boston,True
,date,"Tuesday, Nov. 17, 1903",,,,False
art collection,misc,the Greek Bronzes,,partial,Greek,True
curator,per,Mr. Robinson,,,,False
art described by region,misc,Italian Art,,partial,Italian,True
social reformer,per,Gertrude Hitz,,partial,Gertrude,False
public figure,per,Alfred Burton,,,,False
school,loc,Institute of Technology,,,,False
cultural heritage institution,loc,Fenway Court,,,,False
art collector,per,Mrs. Gardner,exact,,Mrs. Gardner,True
art historical debate,misc,Powell-Carew Holbein dispute,,,,False
artist-painter,per,Holbein,,,,False
artist-musician,per,Clayton Johns,exact,,Clayton Johns,True
,per,Mr. Swift,,,,False
artist-musician,per,[Mr. Adamowski],,,,False
,per,Mrs. Adamowski,,partial,Mrs.,True
,per,Mr. William Blake,,,,False
,per,Gladys,,,,False
,per,Mrs. Baldwin,,partial,Mrs.,True
,per,her mother,,,,False
artist-musician,per,Clayton Johns,exact,,Clayton Johns,True
art collector,per,Mrs. Gardner,exact,,Mrs. Gardner,True
club,org,Thursday Evening Club,,,,False
public figure,per,[Mr. Longyear],,,,False
religious figure,per,Mrs. Longyear,,partial,Mrs.,True
religious beliefs / practices,misc,Christian Science,,,,False
religious figure,per,"""Healer""",,,,False
artist-painting,per,Carpaccio,,,,False
painting,misc,Carpaccio's picture,,,,False
religious figure,per,St. Jerome,,,,False
religious figure,per,Mrs. Longyear,,partial,Mrs.,True
public figure,per,____ Longyear,,,,False
accomodation,loc,Hotel Somerset,,,,False
city,loc,Boston,exact,,Boston,True
,date,"Wednesday, Nov. 18, 1903",,,,False
art historian,per,Bernhard,exact,,Bernhard,False
artist-painter,per,Ellen Hale,exact,,Ellen Hale,True
cultural heritage institution,loc,the Museum,,,,False
,per,Mrs. Berenson,,partial,Mrs.,True
artist-painter,per,Miss Hale,,,,False
city,loc,Cambridge,,,,False
,per,Rachel,exact,,Rachel,True
,per,Mrs. Willard,,partial,Mrs.,True
,per,Mrs. West,,partial,Mrs.,True
art historian,per,B.B.,,,,False
public figure,per,Ethel Puffer,,,,False
professor,per,Prof. Royce,,,,False
psychologist,per,Prof. Münsterberg,,,,False
scholar,per,Santayana,exact,,Santayana,False
professor,per,Münsterberg,,,,False
cultural heritage instituton,loc,the Germanic Museums,,,,False
art historian,per,B.B.,,,,False
businessman,per,Lippmann,,,,False
cultural ,misc,St. Louis Fair,,,,False
professor,per,Prof. Royce,,,,False
art historian,per,Bertie,,,,False
school,loc,Harvard,,,,False
public figure,per,Miss. Puffer,,,,False
public figure,per,the Longyears [Mr. Longyear],,,,False
religious figure,per,the Longyears [Mrs. Longyear],,partial,Mrs.,True
religious,loc,"""Christian Science Temple""",,,,False
cultural ,misc,Experience Meeting,,,,False
,misc,Bible,,,,False
religious figure,per,Mrs. Mary Baker G. Eddy,,partial,Mrs.,True
religious figure,per,Mrs. Longyear,,partial,Mrs.,True
art historian,per,Bernhard,exact,,Bernhard,False
religious beliefs / practices,misc,"[Christian Science ""treatment""]",,,,False
scholar,per,Barrett Wendell,,,,False
cultural,misc,"""Wednesday Evening Club""",,,,False
,date,1776,,,,False
scholar,per,Mr. Rhodes,,,,False
accomodation,loc,Hotel Somerset,,,,False
city,loc,Boston,exact,,Boston,True
,date,"Thursday, Nov. 19, 1903",,,,False
art historian,per,Bernhard,exact,,Bernhard,False
religious beliefs / practices,misc,"[Christian Science ""treatment""]",,,,False
psychologist,per,Miss Puffer,,,,False
school,loc,Wellesley,,,,False
lecture,misc,gave a lecture,,,,False
school,loc,Smith,,,,False
public figure,per,Miss Hazard,,,,False
art collector,per,Mrs. Gardner,exact,,Mrs. Gardner,True
"school, part of",loc,Club House,,,,False
academic,org,the girls who go in to art,,,,False
academic,org,[Wellesley College English Department],,,,False
art historian,per,B.B.,,,,False
,per,the Tylers [Mr. Tyler],,,,False
,per,the Tylers [Mrs. Tyler],,partial,Mrs.,True
,per,Mr. Gale,,,,False
,per,his wife,,,,False
architect,per,Mrs. Fox,,partial,Mrs.,True
,per,"""brother Charles""",,partial,Charles,True
accomodation,loc,Hotel Somerset,,,,False
city,loc,Boston,exact,,Boston,True
,date,"Friday, Nov. 20, 1903",,,,False
scholar,per,Miss Norton,,,,False
art collector,per,Mr. Bullard,,,,False
cultural heritage institution,loc,the Museum,,,,False
scholar,per,Miss Norton,,,,False
art collector,per,Mr. Bullard,,,,False
art historian,per,Bernhard,exact,,Bernhard,False
,per,Miss Norton,,,,False
artist-painter,per,Joseph Lyndon Smith,,,,False
cultural,misc,Joseph Lyndon Smith’s exhibition of pictures,,,,False
region,loc,Sicily,,,,False
scholar,per,Miss Norton,,,,False
art historian,per,B.B.,,,,False
,per,a man,,,,False
artist-painter,per,Mr. Smith,,,,False
art historian,per,Bernhard,exact,,Bernhard,False
city,loc,Cambridge,,,,False
,per,Mrs. Barrett Wendell,,partial,Mrs.,True
,per,Mrs. Rogers,,partial,Mrs.,True
,per,Mrs. Endicott Peabody,,partial,Mrs.,True
,per,Mrs. Burr,,partial,Mrs.,True
,per,Mrs. Parkman,exact,,Mrs. Parkman,False
,per,Miss Robins,,,,False
scholar,per,Santayana,exact,,Santayana,False
city,loc,Cambridge,,,,False
art historian,per,B.B.,,,,False
,per,Miss Robins,,,,False
scholar,per,the James' [Mr. James],,partial,James,True
,per,the James' [Mrs. James],,partial,Mrs.,True
public figure / artist-painter,per,Mr. Denman Ross,,,,False
,per,Mr. Minturn,,,,False
,per,Miss Coombe,,,,False
,per,Mrs. Goodwin,,partial,Mrs.,True
scholar,per,Mr. William James,,partial,James,True
public figure / artist-painter,per,Mr. Ross ,,,,False
public figure / artist-painter,per,Mr. Ross ,,,,False
artist-painter,per,Titian,,,,False
painting,misc,Europa,,,,False
artist-painter / curator,per,Veronese,,,,False
painting,misc,"that fake ""Veronese""",,,,False
art historian,per,B.B.,,,,False
religious figure,per,George Fox,,,,False
city,loc,Lichfield,,,,False
city,loc,Boston,exact,,Boston,True
art historian,per,Bernhard,exact,,Bernhard,False
religious beliefs / practices,misc,"[Christian Science ""treatment""]",,,,False
religious figure,per,Mrs. Longyear,,partial,Mrs.,True
accomodation,loc,Hotel Somerset,,,,False
city,loc,Boston,exact,,Boston,True
,date,"Saturday, Nov. 21, 1903",,,,False
art historian,per,Bernhard,exact,,Bernhard,False
religious beliefs / practices,misc,"[Christian Science ""treatment""]",,,,False
religious figure,per,Mrs. Longyear,,partial,Mrs.,True
printer,per,Mr. Updike,,,,False
business,loc,printing establishment,,,,False
art historian,per,B.B.,,,,False
city,loc,Cambridge,,,,False
scholar,per,Miss Norton,,,,False
cultural,misc,football match,,,,False
athletic team,org,Yale,,,,False
athletic team,org,Harvard,,,,False
artist-painter,per,Mrs. Whitman,,partial,Mrs.,True
cultural,misc,[Symphony Concert],,partial,Symphony Concert,False
family unit,org,the Perrys,,,,False
,per,[Mrs. Perry],,partial,Mrs.,True
lawyer,per,the Samuel Warrens [Samuel Warren],,,,False
,per,the Samuel Warrens [Mrs. Warren],,partial,Mrs.,True
family unit,org,Rogers,,,,False
family unit,org,Grays,,,,False
artist-painter,per,Lyndon Smiths [Lyndon Smith],,,,False
,per,Lyndon Smiths [Mrs. Smith],,partial,Mrs.,True
,per,Miss Reed,,,,False
professor,per,Prof. Powers,,,,False
political,org,“Bureau of International Travel”,,,,False
art collector,per,Mrs. Gardner,exact,,Mrs. Gardner,True
artist-musician,per,Mr. Proctor,,,,False
cultural heritage institution,loc,the Symphony  ,,,,False
family unit,org,the family,,,,False
neighborhood,loc,Savin Hill,,,,False
,per,Rachel,exact,,Rachel,True
scholar,per,Ralph Perry,,,,False
art collector,per,Mrs. Gardner,exact,,Mrs. Gardner,True
,per,B.B.,,,,False
accommodation,loc,Hotel Somerset,,,,False
city,loc,Boston,exact,,Boston,True
,date,"Sunday, Nov. 22, 1903",,,,False
,per,Bernhard,exact,,Bernhard,False
religious beliefs / practices,misc,Christian Science,,,,False
religious,misc,Christian Science meeting,,,,False
city,loc,Cambridge,,,,False
public figure / artist-painter,per,Mr. Denman Ross,,,,False
art described by region,misc,[Chinese art],,partial,Chinese,True
art described by region,misc,Japanese Art,,partial,Japanese,True
art described by region,misc,[Eastern art],,,,False
?,misc,[Denman Waldo Ross' art],,,,False
artist-painter,per,Ingres,,,,False
artist-painter,per,Velasquez,,,,False
artist-painter,per,Manet,,,,False
artist-painter,per,Michelangelo,,,,False
artist-painter,per,Degas,,,,False
art collector,per,Mrs. Gardner,exact,,Mrs. Gardner,True
art collector,per,Fairfax Murray,,,,False
,per,Mrs. Fletcher,,partial,Mrs.,True
,per,Miss Allyn,,,,False
scholar,per,the Moores [Mr. Moore],,,,False
,per,the Moores [Mrs. Moore],,partial,Mrs.,True
,per,Thayers [Mr. Thayer],,,,False
,per,Thayers [Mrs. Thayer],,partial,Mrs.,True
,per,"Mrs. Sampson, née Ware",,partial,Mrs.,True
,per,B.B.,,,,False
,per,Mrs. Toy,exact,,Mrs. Toy,True
religious figure,per,Conte Campello,,,,False
newspaper,misc,the Nation,,,,False
art historian,per,Warburg,,,,False
artist-writer,per,Logan,exact,,Logan,False
,per,Aunt Janet,,,,False
,per,Conway Felton,,,,False
city,loc,Santa Barbara,,,,False
religious figure,per,Longyear,,,,False
,per,Old Mrs. Ross,,partial,Mrs.,True
accommodation,loc,Hotel Somerset,,,,False
city,loc,Boston,exact,,Boston,True
,date,"Monday, Nov. 23, 1903",,,,False
,per,Mrs. Tyler,exact,,Mrs. Tyler,True
architect,per,Mr. Fox,,,,False
,per,Larz Anderson,,,,False
,per,Mr. Anderson,,,,False
,per,B.B.,,,,False
artist-musician,per,Clayton Johns,exact,,Clayton Johns,True
club,loc,Tavern Club,,,,False
,per,Mrs. Peabody,,partial,Mrs.,True
,per,Mrs. Kahn,,partial,Mrs.,True
,per,B.B.,,,,False
,per,Mrs. Perry,,partial,Mrs.,True
,per,Mrs. Morss,,partial,Mrs.,True
,per,Mr. I. Mackintosh. Bell,,partial,R. I.,True
region,loc,British Columbia,,,,False
body of water,loc,Hudson's Bay,,,,False
ethnic group,org,Indians,,,,False
ethnic group,org,Esquimaux,,,,False
accommodation,loc,Hotel Somerset,,,,False
city,loc,Boston,exact,,Boston,True
,date,"Tuesday, Nov. 24, 1903",,,,False
city,loc,Cambridge,,,,False
professor,per,Prof. Norton,,,,False
scholar,per,Santayana,exact,,Santayana,False
,per,the daughter Santayana christened “Paradiso”,,partial,Santayana,False
scholar,per,Santayana,exact,,Santayana,False
professor,per,Norton,,,,False
painting,misc,[Bassano paintings],,,,False
artist-painter,per,Bassano,,,,False
artist-painter,per,Tintoretto,,,,False
drawing,misc,[Burne-Jones drawings],,,,False
artist-painter,per,Burne-Jones,,,,False
drawing,misc,[Blake drawing],,,,False
artist-painter / artist-writer,per,Blake,,,,False
scholar,per,Miss Norton,,,,False
public figure / artist-painter,per,Denman Ross,,,,False
club,loc,the Union,,,,False
scholar,per,Santayana,exact,,Santayana,False
,per,the Toys [Mr. Toy],,,,False
,per,the Toys [Mrs. Toy],,partial,Mrs.,True
art collector,per,Bullard [Mr. Bullard],,,,False
public figure,per,Mrs. Agassiz,,partial,Mrs.,True
art collector,per,Pringsheims [Mr. Pringsheim],,,,False
,per,Pringsheims [Mrs. Pringsheim],,partial,Mrs.,True
religious figure,per,Rabbi Fleischer,exact,,Rabbi Fleischer,True
,per,the Wilsons [Mr. Wilson],,partial,Wilson,False
artist-musician,per,the Wilsons [Mrs. Wilson],,partial,Wilson,False
artist-musician,per,Helen,,partial,Helen Hopekirk,False
,misc,[music by Bach],,partial,Bach,True
artist-composer,per,Bach,exact,,Bach,False
accommodation,loc,Hotel Somerset,,,,False
city,loc,Boston,exact,,Boston,True
,date,"Wednesday, Nov. 25, 1903",,,,False
art collector,per,Mrs. Gardner,exact,,Mrs. Gardner,True
artist-painter / artist-sculptor,per,Zorn,,,,False
,per,B. B.,exact,,B. B.,True
art collector,per,Mr. Macomber,,,,False
art described by region,misc,[Italian art],,partial,Italian,True
artist-painter,per,Mrs. Whitman,,partial,Mrs.,True
painting,misc,[Sarah Whitman paintings],,partial,Sarah Whitman,False
stained glass,misc,[Sarah Whitman stained glass],,partial,Sarah Whitman,False
art collector,per,Mr. Templeman Coolidge,,,,False
,per,his wife,,,,False
artist-writer / scholar,per,"the historian, Parkman",,,,False
,per,Senda,,,,False
scholar,per,Mr. Perry,,,,False
,per,Mrs. Hooker,,partial,Mrs.,True
,per,the Bowlkers [Mr. Bowlker],,,,False
,per,the Bowlkers [Mrs. Bowlker],,partial,Mrs.,True
,per,Mrs. Bowlker,,partial,Mrs.,True
accommodation,loc,Hotel Somerset,,,,False
city,loc,Boston,exact,,Boston,True
cultural,misc,Thanksgiving,,,,False
,date,"Thursday, Nov. 26, 1903",,,,False
region,loc,New England,,partial,England,True
,per,Senda,,,,False
,per,little Mrs. Berenson,,partial,Mrs.,True
accommodation,loc,Hotel Somerset,,,,False
city,loc,Boston,exact,,Boston,True
,date,"Friday, Nov. 27, 1903",,,,False
public figure / artist-painter,per,Denman ross,,,,False
cultural heritage institution,loc,Museum,,partial,Art Museum,True
?,misc,[16 pictures of Rakkan],,,,False
religious figure,per,Rakkan,,,,False
artist-printmaker,per,Dureresque,,,,False
art described by region,misc,[Japanese art],,partial,Japanese,True
art described by region,misc,[Chinese art],,partial,Chinese,True
art historian,per,Mr. Pritchard,,,,False
public figure / artist-painter,per,Mr. Ross,,,,False
,per,Billy Taylor,,,,False
public figure / artist-painter,per,Denman Ross,,,,False
public figure,per,Alfred Burton,,,,False
city,loc,Newton,,,,False
region,loc,North Pole,,,,False
region,loc,Java,,,,False
religious figure,per,a priest,,,,False
historic,misc,solar eclipse,,,,False
public figure,per,Berton,,,,False
public figure,per,Burton,,,,False
,per,Arnold,,,,False
,per,Harold,,,,False
,per,Burton’s sister,,,,False
curator,per,the Robinsons [Mr. Robinson],,,,False
,per,the Robinsons [Mrs. Robinson],,partial,Mrs.,True
art historian,per,Dick Norton,,,,False
art collector,per,Mrs. Montgomery Sears,,partial,Mrs.,True
art described by region,misc,"""Etruscan” jewelry",,,,False
,per,Mrs. Sears,,partial,Mrs.,True
cultural heritage institution,loc,Museum,,partial,Art Museum,True
art historian,per,Norton,,,,False
cultural heritage institution,loc,Museum,,partial,Art Museum,True
artist-painter,per,Perugino,,,,False
painting,misc,our Perugino,,,,False
curator,per,Robinson,,,,False
,per,his wife,,,,False
accommodation,loc,Hotel Somerset,,,,False
city,loc,Boston,exact,,Boston,True
,date,"Saturday, Nov. 28, 1903",,,,False
art collector,per,Mrs. Gardner,exact,,Mrs. Gardner,True
,per,Senda,,,,False
art described by region,misc,[Chinese art],,partial,Chinese,True
art described by region,misc,[Japanese art],,partial,Japanese,True
cultural heritage museum,loc,her beautiful Palace,,,,False
scholar,per,Edward Everett Hale,exact,,Edward Everett Hale,True
,per,a sweet clean wife,,,,False
artist-painter,per,daughter,,,,False
artist-painter,per,Ellen Hale,exact,,Ellen Hale,True
,per,the Fletchers [Mr. Fletcher],,,,False
,per,the Fletchers [Mrs. Fletcher],,partial,Mrs.,True
city,loc,Cambridge,,,,False
,per,Mr. Thayer,,,,False
,per,his wife,,,,False
